price_monthly,rooms,total_area,living_area,kitchen_area,floor,total_floors,build_year,bathroom_type,balcony,renovation,building_series,building_type,ceiling_type,entrances,heating,is_emergency,district,subdistrict,metro_name,metro_time_minutes,residential_complex,utilities_included,deposit,has_commission,prepayment_months,min_lease_term,living_conditions,has_fridge,has_dishwasher,has_washing_machine,has_conditioner,has_tv,has_internet,has_bath,has_shower,has_kitchen_furniture,has_room_furniture,description,agent_type,url
150000.0,2.0,70.0,,,18.0,23.0,2018.0,1 совмещенный,1 лоджия,Дизайнерский,Индивидуальный проект,Монолитный,Железобетонные,2.0,Центральное,0.0,ЗАО,р-н Филевский парк,Филёвский парк,13.0,ЖК «ФилиЧета»,1.0,150000.0,0.0,1 месяц,от года,,1,1,1,1,1,1,1,1,1,1,"Отличная светлая квартира в одном из лучших районов Москвы. После ремонта,  никто не жил.

Начните свой день с чашки кофе с видом на Москва Сити!

В шаговой доступности от ЖК находится большой фитнес клуб с бассейном, несколько теннисных клубов, Галлереи Времена года с ресторанами, магазинами и кинотеатром, недалеко также находится ТРЦ Океания.
В доме для вашего удобства - продуктовый магазин, винный магазин, студия тренировок.

Квартира находится вблизи одного из лучших парков города - парк Фили, парк отлично оборудован для прогулок и пробежек.

Современная, уютная квартира на западе москвы. В квартире 2 (!) действительно большие гардеробных комнаты. Кондиционер в каждой комнате. 
Душ + ванная, вся кухонная техника kuppersberg.
По настоящему просторная квартира с балконом - лоджией с видом на Москва - Сити и Парк Победы. 

В вашем распоряжении: панорамный балкон, с видом на МГУ, парк победы, Москва Сити!

При этом дом выгодно удален от суеты города, расположен в обжитой части района фили. Пару минут до выезда на кутузовский проспект, 10 минут до Москва Сити!",,https://www.cian.ru/rent/flat/229446629/
80000.0,2.0,65.0,34.0,12.0,14.0,16.0,1983.0,1 раздельный,1 балкон,Косметический,П-3,Панельный,Железобетонные,4.0,Центральное,0.0,СЗАО,р-н Хорошево-Мневники,Народное Ополчение,9.0,,1.0,80000.0,,1 месяц,от года,можно с детьми,1,1,1,1,1,1,1,0,1,1,"Квартира после ремонта!Встроенный кухонный гарнитур.Вся мебель(диван,шкафы,кровать,сьол) и техника имеется в наличии.Санузел раздельный в плитке..Рассмотрят различные составы!Предпочтение семейной паре,можно с детьми!Развитая инфраструктура района!Заселение с 4 декабря!",,https://www.cian.ru/rent/flat/229557647/
80000.0,2.0,50.0,32.0,10.0,7.0,14.0,2018.0,1 совмещенный,,Евроремонт,Индивидуальный проект,,Железобетонные,11.0,Центральное,0.0,СВАО,р-н Останкинский,Ботанический сад,17.0,ЖК «Green park (Грин парк)»,1.0,80000.0,,1 месяц,от года,можно с детьми,1,1,1,1,1,1,1,0,1,1,"ЖК ""Green Park"".!Квартира после качественного ремонта!Встроенный Кухонный гарнитур.Вся  мебель( диван,кровать шкафы,стол,кррвать) и техника(холодильник,стиральная машина,телевизор,СВЧ) современная!!!Санузел в плитке.Лоджия.Рассмотрят семейную пару или одного человека,можно с ребёнком!Развитая инфраструктура жилого комплекса и района!",,https://www.cian.ru/rent/flat/235961872/
165000.0,3.0,80.0,50.0,10.0,10.0,12.0,1955.0,,1 балкон,Евроремонт,Индивидуальный проект,,Железобетонные,6.0,Центральное,0.0,ЗАО,р-н Дорогомилово,Парк Победы,4.0,,1.0,165000.0,0.0,1 месяц,от года,можно с детьми и животными,1,1,1,1,1,1,1,0,1,1,"Отличная  квартира с тремя изолированными комнатами -  с  видами из  окон на Поклонную гору, Триумфальную арку и Москва-сити. Планировка:  кухня-гостиная, две спальни, гардеробная,   с/узел+ ванная .   Застекленный балкон. Квартира полностью меблирована и оснащена всей необходимой техникой от ведущих производителей. Кондиционер.  Собственник . Своя парковка во дворе для жителей",,https://www.cian.ru/rent/flat/236960743/
65000.0,1.0,34.0,20.0,10.0,6.0,12.0,1966.0,1 совмещенный,1 балкон,Косметический,II-18,Блочный,Нет информации,1.0,Центральное,0.0,ЦАО,р-н Таганский,Римская,14.0,,1.0,65000.0,0.0,1 месяц,от года,можно с детьми,1,0,1,1,1,1,1,0,1,1,"Сдаётся  отличная квартира недалеко от центра Москвы в Таганском районе, вся инфраструктура центра города. Доступность до 3-х станций метро. Рядом много магазинов . Квартира в хорошем состоянии . Есть вся необходимая мебель и бытовая техника: духовой шкаф, плита, стиральная машина, холодильник. телевизор. Застеленный балкон из кухни. Окна в тихий двор. Санузел совмещенный. На длительный срок. Закрытая прилегающая территория (под шлагбаум), всегда есть парковочное место.",,https://www.cian.ru/rent/flat/242794204/
137417.0,2.0,65.0,32.0,10.0,8.0,10.0,2012.0,1 совмещенный,,Евроремонт,,Монолитный,Нет информации,,Нет информации,0.0,СЗАО,р-н Щукино,Октябрьское поле,7.0,ЖК «Маршал»,1.0,137417.0,0.0,1 месяц,от года,можно с детьми и животными,1,1,1,1,1,1,1,0,1,1,"Предлагается в аренду 2-комн. апартамент 65,96м2 от собственника в ЖК бизнес-класса Маршал! Апартамент передается с высококачественной отделкой, выполненной по эксклюзивному дизайн-проекту в современном стиле контемпорари, полной меблировкой, в том числе стильной и комфортной мягкой мебелью, и оснащением ванных комнат и кухни. Пространство апартамента подчеркнет высокий статус и индивидуальность владельца. В отделке использованы высококачественные материалы от ведущих производителей. Световое решение интерьеров включает современные светильники с низким потреблением электроэнергии и стильные люстры. Установлены системы кондиционирования. Кухня оснащена разработанными по эксклюзивным дизайн-проектам мебелью и встроенной функциональной бытовой техникой от ведущих зарубежных производителей, включая посудомоечную машину. Установлены окна с двухкамерными стеклопакетами, обладающие великолепной тепло- и шумоизоляцией. В холле подъезда, а также в межквартирных холлах, где находятся апартаменты, премиальная отделка выполнена в едином стиле с архитектурой жилого комплекса. Организована консьерж-служба. Предусмотрена связь с консьержем из апартамента по домофону. Комплекс имеет уникальную транспортную доступность: рядом ТПУ Панфиловская, в 5 мин. ходьбы ст. м. Октябрьское Поле. В нескольких минутах езды находится Ленинградский пр-т, по которому можно быстро доехать до ТТК и центра Москвы. В непосредственной близости от ЖК Маршал проходит ул. Народного Ополчения, входящая в состав Северо-Западной хорды, которая связывает районы ЮЗАО и СВАО столицы. ЖК Маршал получил награду TREFI Лучший проект бизнес-класса в Москве. Это самодостаточный город в городе, расположенный на большой 6,3 га охраняемой территории. Застройка занимает лишь 1/3 этой территории, остальное пространство - зеленая зона со сквером с аллеями для прогулок и фонтаном, яркими детскими площадками-городками и универсальными спортивными площадками с теннисным кортом, оснащенными мягким покрытием и современным оборудованием. Уникальное архитектурное решение и богатая собственная инф-ра, где есть всё необходимое для комфортной жизни: д/сады и развивающие центры, мини-маркет, медцентры, стоматология, офтальмология, химчистка, салоны красоты, несколько кафе, гастро-бутик, рестораны, подземный паркинг на 1200 м/мест (можно купить или арендовать машино-место), БЦ класса B+, где можно арендовать/купить офис и работать рядом с домом, 2 отеля французской сети Ibis и другие объекты бытовой инфраструктуры, делают комплекс комфортным и престижным и воплощают концепцию Live & Work. Рядом с комплексом - Церковь Иконы Божией Матери, а в 10 мин. ходьбы - Большая Всехсвятская Роща, где можно прекрасно отдыхать всей семьей круглый год. Комплекс обладает отличной внешней инфраструктурой респектабельного района Щукино: магазины и супермаркеты, отделения банков, торговые центры.",,https://www.cian.ru/rent/flat/244607389/
135000.0,2.0,50.0,35.0,12.0,7.0,21.0,2015.0,1 совмещенный,1 лоджия,Дизайнерский,,Монолитный,Нет информации,16.0,Центральное,0.0,ЗАО,р-н Раменки,Раменки,9.0,ЖК «Мосфильмовский»,1.0,135000.0,,1 месяц,от года,можно с детьми,1,1,1,1,1,1,0,1,1,1,"Ключи на руках. Сдается в аренду отличная квартира в монолитном доме бизнес класса ЖК ""Мосфильмовский"". Территория комплекса огороженная, без машин.  Ремонт квартиры выполнен по индивидуальному дизайн проекту, в светлых тонах. Квартира состоит из прихожей, отдельной кухни, гостиной с гардеробной и спальни. Кухня с выходом на застеклённую, утепленную лоджию (при желании можно сделать рабочее место или зону отдыха), с панорамным видом на ул.Мосфильмовская. Кухня оборудована всей необходимой техникой, посудомоечной и стиральной машиной. Вся техника  фирмы ""Bosch"". В гостевой зоне установлен кондиционер. Совмещенный санузел с душевой кабиной. Тропический душ. Огороженная, охраняемая территория с подземным паркингом! Удобная транспортная доступность. Звоните уважаемые коллеги и клиенты.",,https://www.cian.ru/rent/flat/247606849/
84900.0,0.0,34.0,,,2.0,15.0,2017.0,,,Косметический,,Монолитный,Нет информации,,Нет информации,0.0,САО,р-н Хорошевский,ЦСКА,10.0,ЖК «Лайнер»,1.0,35000.0,,2 месяца,несколько месяцев,можно с детьми и животными,1,0,1,0,0,0,0,0,1,1,"Интересный ремонт, качественные материалы, декор и часть мебели на заказ, все продумано. Паркетная доска, столешница из массива дуба, матрас kingkoil 39 см, камин, ТВ55, рабочее место, встроенная техника, сейф, встроенный в смеситель фильтр для воды, много места для хранения, управление светом из разных точек, выключение света картой, электронный замок и тд
В ванной, теплый пол, качественная мебель, ванна чугун, смарт унитаз с функцией биде, подсветкой и подогревом.
Хорошее месторасположение, м. ЦСКА 7 мин, ТЦ АВИАПАРК. На первом этаже много качественных кафе и ресторанов, кофейни, салоны красоты и минимаркеты.
Агентам и прочим посредникам звонить только с клиентом! Субаренды нет. Регистрации нет.",,https://www.cian.ru/rent/flat/259363477/
56000.0,0.0,20.0,,,2.0,37.0,2020.0,1 совмещенный,,Дизайнерский,,Монолитный,Железобетонные,6.0,Центральное,0.0,ВАО,р-н Гольяново,Черкизовская,15.0,ЖК «Level Амурская (Левел Амурская)»,1.0,56000.0,0.0,1 месяц,от года,,1,0,1,1,1,1,0,1,1,1,"Сдам светлую и уютную студию с дизайнерским ремонтом на длительный срок от собственника. Окна выходят во двор. Площадь 20 кв.м. Этаж - 2. Студия находится на улице Амурской в 12 минутах ходьбы от метро. Внутри есть все для комфортного проживания: новая двуспальная кровать, шкаф, тумбочки, телевизор smart TV, кондиционер, интернет.

На кухне  холодильник, микроволновка, электрочайник, вытяжка, варочная  панель,  набор посуды. Санузел совмещенный, отделан мраморным керамогранитом. В санузле есть: шкаф со светодиодной подсветкой, душевая кабина, электрический полотенцесушитель с регулировкой мощности, сантехника немецких брендов GROE и Wassercraft, стиральная машина Haier c функцией стрики паром. Установлена система от протечки воды Нептун.

Стоимость 58 тыс. рублей в месяц + счетчики + интернет. Залог 58000р. Студия сдается на длительный срок работающему человеку или паре. Просмотр по выходным.

Без животных. Курить в студии строго запрещено.",,https://www.cian.ru/rent/flat/261780942/
55000.0,2.0,45.0,26.0,5.0,3.0,6.0,2019.0,2 совмещенных,,Евроремонт,,Монолитный,Нет информации,,Нет информации,0.0,ЮВАО,р-н Марьино,Марьино,19.0,ЖК «Апарт-комплекс 16 Уровень»,1.0,55000.0,,1 месяц,от года,можно с детьми,1,1,1,1,1,0,0,1,1,1,"Код 57.   Предлагаем вашему вниманию двухэтажный апартамент, стильный  дизайн. В квартире выполнен качественный евро ремонт. Рассмотрим Одного-Двух человек , можно с ребенком школьного возраста. Депозит можно разбить на ДВА месяца. Новая мебель , новая техника, новая сантехника. В  квартире на первом этаже: прихожая, кухня объединена с гостиной,  обеденная группа. Пол на первом этаже керамогранит . На втором этаже спальня с просторной 2-х спальной кроватью с ортопедическим матрасом Аскона , шкаф с зеркалами. Имеется кладовая - гардеробная. Пол на втором этаже ламинат. Два санузла в квартире на первом и втором этаже. Высота потолка на первом этаже 4.60 м, на втором - 2.20 м Вся необходимая бытовая техника: Стиральная машина, посудомойка, холодильник, варочная панель, духовой шкаф, чайник, телевизор большой плазма,  кондиционер. Панорамные окна. В пешей доступности большой парк, Москва река, 2 метро, Торговые центры и Аквапарк. В доме круглосуточная охрана, закрытая парковка, видео наблюдение. В ПЕШЕЙ ДОСТУПНОСТИ ОТ МЕТРО МАРЬИНО.",,https://www.cian.ru/rent/flat/266780620/
90000.0,1.0,40.0,20.0,9.0,13.0,17.0,2003.0,1 совмещенный,1 лоджия,Евроремонт,Индивидуальный проект,Монолитный,Нет информации,2.0,Центральное,0.0,ЦАО,р-н Тверской,Достоевская,4.0,,1.0,70000.0,,1 месяц,от года,,1,0,1,1,1,1,1,0,1,1,"Сдаётся квартира, только сдалан новый ремонт с заменой всех коммуникаций и сантехникой. В квартире большая кухня с гостиной и маленькая спальня. Квартира тёплая и уютная, в отличном состоянии. В спальне расположена кровать с ортопедическим матрасом, в кухне гостиной диван со столиком и телевизором. В доме консьерж, парковка. Из окон открывается красивый панорамный вид на центр Москвы. Звоните для просмотра!",,https://www.cian.ru/rent/flat/266831625/
